"Rank","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"94","","Jordy Nelson","OAK","WR42","7","39","149","93.6","19.1","94.0","0.0"
"95","","Carlos Hyde","CLE","RB33","11","48","146","95.1","24.3","72.0","-23.0"
"96","","Rashaad Penny","SEA","RB34","7","40","175","93.0","26.7","66.0","-30.0"
"97","","Ben Roethlisberger","PIT","QB11","7","53","150","99.7","16.9","103.0","+6.0"
"98","","Jack Doyle","IND","TE11","9","57","142","100.4","16.2","107.0","+9.0"
"99","","Sterling Shepard","NYG","WR43","9","65","175","99.7","20.4","106.0","+7.0"
"100","","Kenny Stills","MIA","WR44","11","46","251","97.6","27.0","117.0","+17.0"
"101","","Philip Rivers","LAC","QB12","8","62","193","105.3","21.9","109.0","+8.0"
"102","","Jamaal Williams","GB","RB35","7","46","170","101.0","26.6","97.0","-5.0"
"103","","Isaiah Crowell","NYJ","RB36","11","60","162","101.1","22.0","86.0","-17.0"
"104","","Kelvin Benjamin","BUF","WR45","11","66","200","103.0","18.8","102.0","-2.0"
"105","","Jimmy Garoppolo","SF","QB13","11","47","195","108.6","23.6","101.0","-4.0"
"106","","Chris Carson","SEA","RB37","7","19","239","108.7","30.0","99.0","-7.0"
"107","","Marlon Mack","IND","RB38","9","53","169","108.7","24.8","98.0","-9.0"
"108","","Ronald Jones II","TB","RB39","5","38","191","110.1","29.0","68.0","-40.0"
"109","","Matt Ryan","ATL","QB14","8","62","183","114.2","23.3","108.0","-1.0"
"110","","Devante Parker","MIA","WR46","11","44","182","110.0","27.0","105.0","-5.0"
"111","","Marqise Lee","JAC","WR47","9","60","166","110.0","18.2","124.0","+13.0"
"112","","David Njoku","CLE","TE12","11","69","176","117.2","18.8","110.0","-2.0"
"113","","George Kittle","SF","TE13","11","68","202","118.8","24.3","127.0","+14.0"
"114","","Patrick Mahomes","KC","QB15","12","56","197","120.3","24.3","118.0","+4.0"
"115","","James White","NE","RB40","11","58","217","116.3","30.2","116.0","+1.0"
"116","","Jared Goff","LAR","QB16","12","69","183","123.9","22.2","119.0","+3.0"
"117","","Marcus Mariota","TEN","QB17","8","55","188","124.8","22.7","125.0","+8.0"
"118","","Allen Hurns","DAL","WR48","8","48","238","114.8","26.0","121.0","+3.0"
"119","","Ty Montgomery","GB","RB41","7","52","182","120.5","26.1","115.0","-4.0"
"120","","Giovani Bernard","CIN","RB42","9","71","256","124.4","26.0","128.0","+8.0"
"121","","Alex Smith","WAS","QB18","4","50","203","130.1","24.3","132.0","+11.0"
"122","","C.J. Anderson","CAR","RB43","4","58","193","127.6","27.0","114.0","-8.0"
"123","","D.J. Moore","CAR","WR49","4","72","227","125.4","26.4","120.0","-3.0"
"124","","Peyton Barber","TB","RB44","5","61","218","127.5","32.0","131.0","+7.0"
"125","","Rishard Matthews","TEN","WR50","8","34","231","127.4","30.5","162.0","+37.0"
"126","","Kenny Golladay","DET","WR51","6","85","247","129.3","28.9","144.0","+18.0"
"127","","Dak Prescott","DAL","QB19","8","76","204","138.0","24.3","135.0","+8.0"
"128","","Theo Riddick","DET","RB45","6","62","266","132.5","30.4","143.0","+15.0"
"129","","O.J. Howard","TB","TE14","5","69","232","138.0","27.4","147.0","+18.0"
"130","","Tyler Eifert","CIN","TE15","9","82","221","138.1","24.6","138.0","+8.0"
"131","","Charles Clay","BUF","TE16","11","79","189","137.2","21.6","177.0","+46.0"
"132","","Devontae Booker","DEN","RB46","10","70","268","136.6","31.2","139.0","+7.0"
"133","","Bilal Powell","NYJ","RB47","11","63","192","133.2","27.3","157.0","+24.0"
"134","","Josh Doctson","WAS","WR52","4","81","248","131.7","26.5","145.0","+11.0"
"135","","Cameron Meredith","NO","WR53","6","74","258","133.4","32.5","126.0","-9.0"
"136","","Tyler Lockett","SEA","WR54","7","67","245","133.3","32.7","154.0","+18.0"
"137","","Mike Williams","LAC","WR55","8","68","233","136.2","34.9","133.0","-4.0"
"138","","Aaron Jones","GB","RB48","7","51","225","140.5","30.1","112.0","-26.0"
"139","","Eric Ebron","IND","TE17","9","59","267","145.1","27.1","205.0","+66.0"
"140","","Jacksonville (JAC)","","DST1","9","75","260","141.3","25.8","111.0","-29.0"
"141","","Cameron Brate","TB","TE18","5","76","203","146.8","21.7","165.0","+24.0"
"142","","Jared Cook","OAK","TE19","7","80","232","146.5","22.9","182.0","+40.0"
"143","","Nick Chubb","CLE","RB49","11","94","232","143.7","26.0","113.0","-30.0"
"144","","Calvin Ridley","ATL","WR56","8","75","238","141.9","30.9","123.0","-21.0"
"145","","Anthony Miller","CHI","WR57","5","95","245","142.0","32.5","155.0","+10.0"
"146","","Derek Carr","OAK","QB20","7","71","211","154.7","25.2","136.0","-10.0"
"147","","Minnesota (MIN)","","DST2","10","78","262","148.6","25.4","130.0","-17.0"
"148","","Corey Clement","PHI","RB50","9","86","272","147.8","31.9","146.0","-2.0"
